foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Norel Misr S A E,Egypt,2020,Egypt,EGY,Norel Misr S A E,726_EGY,0.0,0,726_EGY
Bomag Gmb H,Germany,2021,Germany,DEU,Bomag Gmb H,969_DEU,,0,969_DEU
Feicheng City Tianyuan Industry Trade,China,2019,China,CHN,Feicheng City Tianyuan Industry Trade,18500_CHN,0.0,0,18500_CHN
Hermanos Flores Romero Cb,Spain,2019,Spain,ESP,Hermanos Flores Romero Cb,311_ESP,0.0,0,311_ESP
Lactalis South Africa (Pty),South Africa,2021,South Africa,ZAF,Lactalis South Africa (Pty),CHN_1209,,1,
Curium Netherlands B.V.,Netherlands,2020,Netherlands,NLD,Curium Netherlands Bv,CHN_1210,82.0,1,
Sun Yorkos Enterprise,Taiwan,2020,Taiwan,TWN,Sun Yorkos Enterprise,7488_TWN,0.0,0,7488_TWN
Angelic Enterprises Manikpur Bazar Choitokanda,Bangladesh,2021,Bangladesh,BGD,Angelic Enterprises Manikpur Bazar Choitokanda,CHN_1211,,1,
Jackson Global Pte,Singapore,2020,Singapore,SGP,Jackson Global Pte,3388_SGP,100.0,0,3388_SGP
Dorst Technologies Koetzting Gmb H Kg,Germany,2021,Germany,DEU,Dorst Technologies Koetzting Gmb H Kg,CHN_1212,,1,
To Ordernotify Party Unirubber Hong Kong Inv,China,2020,China,CHN,To Ordernotify Party Unirubber Hong Kong Inv,6711_CHN,0.0,0,6711_CHN
Sarinotex,United States,2021,United States,USA,Sarinotex,382_USA,,0,382_USA
"Morris Musical Inst. Mfg. Co., Ltd.",Japan,2019,Japan,JPN,Morris Musical Inst Mfg Co Ltd,CHN_1213,0.0,1,
Prada New Zealand,Australia,2020,Australia,AUS,Prada New Zealand,933_AUS,0.0,0,933_AUS
Maf Agrobotic,France,2020,France,FRA,Maf Agrobotic,2929_FRA,0.0,0,2929_FRA
Bridge Air Ltd. O F Amperex Technology Ltd.,Hong Kong,2021,Hong Kong,HKG,Bridge Air Ltd O F Amperex Technology Ltd,CHN_1214,,1,
Fuzhou Juyuanfude Trade,China,2021,China,CHN,Fuzhou Juyuanfude Trade,CHN_1215,,1,
Weifang Yinsheng Chemical Ltd.,China,2020,China,CHN,Weifang Yinsheng Chemical Ltd,13328_CHN,100.0,0,13328_CHN
Fontana Dc Cj,United States,2021,United States,USA,Fontana Dc Cj,238_USA,,0,238_USA
Cable Solutions Worldwide,United Kingdom,2020,United Kingdom,GBR,Cable Solutions Worldwide,6928_GBR,0.0,0,6928_GBR
Hsin Nien Tai Industrial Co.,Taiwan,2020,Taiwan,TWN,Hsin Nien Tai Industrial Co,949_TWN,100.0,0,949_TWN
Seabird Ply Decor,India,2020,India,IND,Seabird Ply Decor,964_IND,0.0,0,964_IND
Yusen Logistics Thailand,Thailand,2020,Thailand,THA,Yusen Logistics Thailand,CHN_1216,85.0,1,
Officina Trasformazione Italia Srl,Italy,2021,Italy,ITA,Officina Trasformazione Italia Srl,3052_ITA,,0,3052_ITA
Evezary,South Korea,2021,,,Evezary,CHN_1217,,1,
Helicopter Technical Servicecompany Helitechco,Vietnam,2020,Vietnam,VNM,Helicopter Technical Servicecompany Helitechco,1529_VNM,0.0,0,1529_VNM
Red Star Fabric Ltd.,Hong Kong,2019,Hong Kong,HKG,Red Star Fabric Ltd,7388_HKG,100.0,0,7388_HKG
