foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,new,old_name
Zhangzhou Shadow Electron Industry,China,2021,China,CHN,Zhangzhou Shadow Electron Industry,17034_CHN,,0,17034_CHN
"Amberton Pte., Ltd.",Singapore,2019,Singapore,SGP,Amberton Pte Ltd,CHN_1,84.0,1,
Kg Warehouse Dfs,Georgia,2021,Georgia,GEO,Kg Warehouse Dfs,26_GEO,,0,26_GEO
Texhong,China,2020,China,CHN,Texhong,11357_CHN,0.0,0,11357_CHN
Osi Electronics Pte Carling Brownsville Te,United States,2021,United States,USA,Osi Electronics Pte Carling Brownsville Te,10437_USA,,0,10437_USA
Gohsyu Mexicana S A De,Mexico,2020,Mexico,MEX,Gohsyu Mexicana S A De,360_MEX,100.0,0,360_MEX
Etablissements Catu,France,2019,France,FRA,Etablissements Catu,CHN_2,84.0,1,
Hispanagar S A,Spain,2021,Spain,ESP,Hispanagar S A,CHN_3,,1,
Baoding Lead Fluid Technology,China,2020,China,CHN,Baoding Lead Fluid Technology,55953_CHN,0.0,0,55953_CHN
Samto General Trading,United Arab Emirates,2019,United Arab Emirates,ARE,Samto General Trading,CHN_4,89.0,1,
Kontruth Textiles Ltd.,China,2019,China,CHN,Kontruth Textiles Ltd,5891_HKG,0.0,0,5891_HKG
Shenzhen Aiteli Electronics,Hong Kong,2021,Hong Kong,HKG,Shenzhen Aiteli Electronics,CHN_5,,1,
Prosave,South Korea,2021,,,Prosave,CHN_6,,1,
Qinhuangdao Wanlve Metal,China,2021,China,CHN,Qinhuangdao Wanlve Metal,46143_CHN,,0,46143_CHN
Tyremotive Gmb H,Germany,2019,Germany,DEU,Tyremotive Gmb H,1980_DEU,0.0,0,1980_DEU
Siddiqsons Ltd.,Pakistan,2019,Pakistan,PAK,Siddiqsons Ltd,1543_PAK,100.0,0,1543_PAK
Aastar Trading Pte,India,2021,India,IND,Aastar Trading Pte,CHN_7,,1,
Seoil Plastik Urunleri San Tic Sti,Turkey,2019,Turkey,TUR,Seoil Plastik Urunleri San Tic Sti,CHN_8,90.0,1,
Bhikan Lal Raj Kumar Overseas,India,2019,India,IND,Bhikan Lal Raj Kumar Overseas,81_IND,100.0,0,81_IND
Sandotex Corp,Taiwan,2019,Taiwan,TWN,Sandotex Corp,612_TWN,100.0,0,612_TWN
Ebara Densan Taiwan Mfg,Taiwan,2019,Taiwan,TWN,Ebara Densan Taiwan Mfg,CHN_9,94.0,1,
Jahid Office Equipment,Bangladesh,2021,Bangladesh,BGD,Jahid Office Equipment,500_BGD,,0,500_BGD
Cameron Valves 5002,United States,2019,United States,USA,Cameron Valves 5002,CHN_10,85.0,1,
Orsir Coffee,Taiwan,2021,Taiwan,TWN,Orsir Coffee,CHN_11,,1,
Metro Index Garments,Philippines,2021,Philippines,PHL,Metro Index Garments,812_PHL,,0,812_PHL
Jfc Holland B V,Netherlands,2020,Netherlands,NLD,Jfc Holland B V,489_NLD,0.0,0,489_NLD
Thai Arrow Product L Td W H Factory Chachoengsa,Thailand,2021,Thailand,THA,Thai Arrow Product L Td W H Factory Chachoengsa,CHN_12,,1,
Sunshine Textiles Co.,China,2021,China,CHN,Sunshine Textiles Co,CHN_13,,1,
Toyota Motor Philippines,Philippines,2021,Philippines,PHL,Toyota Motor Philippines,CHN_14,,1,
Al Sheikh Al Faki Mohammed,Sudan,2021,Sudan,SDN,Al Sheikh Al Faki Mohammed,20_SDN,,0,20_SDN
Ningbo Longjia Motorcycle,China,2019,China,CHN,Ningbo Longjia Motorcycle,25107_CHN,100.0,0,25107_CHN
Qingdao Fullon Richance Industry Trade,China,2020,China,CHN,Qingdao Fullon Richance Industry Trade,47817_CHN,0.0,0,47817_CHN
Aqua Logistics Pte Sgd,Singapore,2020,Singapore,SGP,Aqua Logistics Pte Sgd,9887_SGP,0.0,0,9887_SGP
Manidhari Enterprise,India,2021,India,IND,Manidhari Enterprise,1258_IND,,0,1258_IND
Laviosa Chimica Mineraria Sp A .,Italy,2019,Italy,ITA,Laviosa Chimica Mineraria Sp A,4795_ITA,100.0,0,4795_ITA
Protameen Chemicals Inc.,United States,2021,United States,USA,Protameen Chemicals Inc,22244_USA,,0,22244_USA
Man Energy Solution Se,Germany,2020,Germany,DEU,Man Energy Solution Se,796_DEU,100.0,0,796_DEU
Max Hk Trading Ltd.,Hong Kong,2019,Hong Kong,HKG,Max Hk Trading Ltd,CHN_15,82.0,1,
Jiangsu Zhentai Chemical,China,2021,China,CHN,Jiangsu Zhentai Chemical,CHN_16,,1,
Triumph Tds,Spain,2021,Spain,ESP,Triumph Tds,610_ESP,,0,610_ESP
Thien Phuc Imp. Exp. Investment Development,Vietnam,2020,Vietnam,VNM,Thien Phuc Imp Exp Investment Development,1546_VNM,0.0,0,1546_VNM
Redsun International,Vietnam,2020,Vietnam,VNM,Redsun International,CHN_17,87.0,1,
N Srl A Socio Unico,Italy,2020,Italy,ITA,N Srl A Socio Unico,CHN_18,86.0,1,
Changzhou Jinheda Textile,China,2020,China,CHN,Changzhou Jinheda Textile,CHN_19,86.0,1,
Jing Zhi Lou Beijing Biotechnology,China,2019,China,CHN,Jing Zhi Lou Beijing Biotechnology,2531_CHN,0.0,0,2531_CHN
Verifood,Israel,2020,Israel,ISR,Verifood,691_ISR,0.0,0,691_ISR
N C Carvalho Eireli,Brazil,2021,Brazil,BRA,N C Carvalho Eireli,CHN_20,,1,
Qingdao Luhang Marine Airbag Fender,China,2020,China,CHN,Qingdao Luhang Marine Airbag Fender,41337_CHN,0.0,0,41337_CHN
Guangzhou Jiangyan Chemical C0,China,2020,China,CHN,Guangzhou Jiangyan Chemical C0,CHN_21,84.0,1,
Samman Ghee Mills 8 9 K Commercia,Pakistan,2020,Pakistan,PAK,Samman Ghee Mills 8 9 K Commercia,1631_PAK,0.0,0,1631_PAK
Globexo India,India,2019,India,IND,Globexo India,11682_IND,0.0,0,11682_IND
Nippon Paper Industries,Japan,2019,Japan,JPN,Nippon Paper Industries,4551_JPN,0.0,0,4551_JPN
Ningbo Jaguard International Trade L,China,2021,China,CHN,Ningbo Jaguard International Trade L,CHN_22,,1,
Shaoxing Baige Tourism Supplies Lt,China,2020,China,CHN,Shaoxing Baige Tourism Supplies Lt,13597_CHN,100.0,0,13597_CHN
Costco Wholesale,United States,2019,United States,USA,Costco Wholesale,593_USA,100.0,0,593_USA
Calbee Australia (Pty),Australia,2020,Australia,AUS,Calbee Australia (Pty),CHN_23,83.0,1,
Powerace Dong Guan Industries,China,2021,China,CHN,Powerace Dong Guan Industries,4763_CHN,,0,4763_CHN
Fosroc Ltd.,United Kingdom,2019,United Kingdom,GBR,Fosroc Ltd,4390_GBR,100.0,0,4390_GBR
Compustock S A De,Mexico,2019,Mexico,MEX,Compustock S A De,CHN_24,91.0,1,
Vtrans International Freight Logistics Pte,Singapore,2019,Singapore,SGP,Vtrans International Freight Logistics Pte,1366_SGP,100.0,0,1366_SGP
Shenzhen Miaofang Development,China,2019,China,CHN,Shenzhen Miaofang Development,9381_CHN,0.0,0,9381_CHN
Salamander Enterprises Ltd.,New Zealand,2021,New Zealand,NZL,Salamander Enterprises Ltd,CHN_25,,1,
Penfibre Sdn Berhad Co. No 13857,Malaysia,2020,Malaysia,MYS,Penfibre Sdn Berhad Co No 13857,9537_MYS,0.0,0,9537_MYS
Zabin Industries Hong Kong Li Shipping Department,Hong Kong,2019,Hong Kong,HKG,Zabin Industries Hong Kong Li Shipping Department,11941_HKG,0.0,0,11941_HKG
Apex Textile,China,2019,China,CHN,Apex Textile,CHN_26,86.0,1,
Societe Sk Food Beverages,Madagascar,2021,Madagascar,MDG,Societe Sk Food Beverages,93_MDG,,0,93_MDG
Attaqniyyah Al Khadra Sdn Bhd,Brunei Darussalam,2020,Brunei Darussalam,BRN,Attaqniyyah Al Khadra Sdn Bhd,129_BRN,0.0,0,129_BRN
The Shop Laguna,United States,2019,United States,USA,The Shop Laguna,9334_USA,0.0,0,9334_USA
Mue International Pte,Singapore,2020,Singapore,SGP,Mue International Pte,CHN_27,86.0,1,
Free Tide,Taiwan,2020,Taiwan,TWN,Free Tide,3926_TWN,0.0,0,3926_TWN
Guanghong Supply Chain Hk Ltd.,China,2020,China,CHN,Guanghong Supply Chain Hk Ltd,48108_CHN,0.0,0,48108_CHN
Marasi International Pte,Singapore,2020,Singapore,SGP,Marasi International Pte,CHN_28,88.0,1,
Ragab El Attar Sons Co.,Egypt,2020,Egypt,EGY,Ragab El Attar Sons Co,CHN_29,95.0,1,
Pretek Doo,Serbia,2021,Serbia,SRB,Pretek Doo,CHN_30,,1,
Diamonchem International,Taiwan,2019,Taiwan,TWN,Diamonchem International,1438_TWN,0.0,0,1438_TWN
Advanced Instruments Inc.,United States,2019,United States,USA,Advanced Instruments Inc,CHN_31,82.0,1,
Admiralty Ltd.,Hong Kong,2020,Hong Kong,HKG,Admiralty Ltd,1702_HKG,0.0,0,1702_HKG
Shanghai Goodharvest International Tradi,China,2019,China,CHN,Shanghai Goodharvest International Tradi,CHN_32,82.0,1,
Adidas Uk Po Box 39 Adidas Centre,United Kingdom,2019,United Kingdom,GBR,Adidas Uk Po Box 39 Adidas Centre,CHN_33,83.0,1,
Halliburton Far East Pte,United Arab Emirates,2020,United Arab Emirates,ARE,Halliburton Far East Pte,19621_USA,89.0,0,19621_USA
Norte Srl Importacion Exportacion,Paraguay,2019,Paraguay,PRY,Norte Srl Importacion Exportacion,87_PRY,0.0,0,87_PRY
Parts Unlimitednv,United States,2021,United States,USA,Parts Unlimitednv,CHN_34,,1,
Lg Electronics Mlawa Sp Z O O Ul Lg Electronics,Poland,2021,Poland,POL,Lg Electronics Mlawa Sp Z O O Ul Lg Electronics,CHN_35,,1,
Taylors Doors,Australia,2019,Australia,AUS,Taylors Doors,CHN_36,96.0,1,
Lgl Electronics Sp A,Italy,2021,Italy,ITA,Lgl Electronics Sp A,CHN_37,,1,
Tenaris Qingdao Steel Pipe,China,2019,China,CHN,Tenaris Qingdao Steel Pipe,4255_CHN,0.0,0,4255_CHN
Jiangsu Zhongbang Pharmaceutical Lt,China,2021,China,CHN,Jiangsu Zhongbang Pharmaceutical Lt,48995_CHN,,0,48995_CHN
Fast Fill System,United States,2020,United States,USA,Fast Fill System,18478_USA,100.0,0,18478_USA
Ft Hijau Enterprise,Malaysia,2020,Malaysia,MYS,Ft Hijau Enterprise,4315_MYS,0.0,0,4315_MYS
Tianjin Post Energy International Trade,China,2021,China,CHN,Tianjin Post Energy International Trade,18473_CHN,,0,18473_CHN
Flexlink Engineering Sdn Bhd,Malaysia,2020,Malaysia,MYS,Flexlink Engineering Sdn Bhd,CHN_38,84.0,1,
Zhejiang Aoya Elastic,China,2021,China,CHN,Zhejiang Aoya Elastic,CHN_39,,1,
Ningbo Sunico Commutator Ltd.,China,2021,China,CHN,Ningbo Sunico Commutator Ltd,24877_CHN,,0,24877_CHN
Shanghai Otsuka Foods,China,2021,China,CHN,Shanghai Otsuka Foods,3618_CHN,,0,3618_CHN
Charminar Jointing,India,2021,India,IND,Charminar Jointing,7100_IND,,0,7100_IND
Gan Lin Agriculture,Taiwan,2021,Taiwan,TWN,Gan Lin Agriculture,9314_TWN,,0,9314_TWN
Brand Id Hk,Hong Kong,2019,Hong Kong,HKG,Brand Id Hk,5499_HKG,100.0,0,5499_HKG
Henric International Ltd.,China,2020,China,CHN,Henric International Ltd,CHN_40,86.0,1,
The Wild World,France,2020,France,FRA,The Wild World,1756_FRA,0.0,0,1756_FRA
Worldplus Technology Ltd.,Taiwan,2021,Taiwan,TWN,Worldplus Technology Ltd,93_TWN,,0,93_TWN
Bat Romania Investment Srl,Singapore,2021,Singapore,SGP,Bat Romania Investment Srl,2_ROU,,0,2_ROU
Toyota Tsusho Korea Coporation,South Korea,2021,,,Toyota Tsusho Korea Coporation,CHN_41,,1,
Delta Mate Go Haiyang Road,China,2020,China,CHN,Delta Mate Go Haiyang Road,8492_CHN,0.0,0,8492_CHN
Oxford Of Lyons,United States,2020,United States,USA,Oxford Of Lyons,7931_USA,0.0,0,7931_USA
Xiamen Ecco Logistics,China,2020,China,CHN,Xiamen Ecco Logistics,CHN_42,84.0,1,
Lotus Footwear Enterprises Ltd. India Branc,India,2020,India,IND,Lotus Footwear Enterprises Ltd India Branc,CHN_43,89.0,1,
Iksun Teak,United States,2021,United States,USA,Iksun Teak,6846_USA,,0,6846_USA
Modway,United States,2021,United States,USA,Modway,7525_USA,,0,7525_USA
Joyce Nguyen Mainetti Vietnam,Vietnam,2019,Vietnam,VNM,Joyce Nguyen Mainetti Vietnam,5822_VNM,0.0,0,5822_VNM
Mplus Filtration,Thailand,2019,Thailand,THA,Mplus Filtration,4512_THA,0.0,0,4512_THA
Univar Ag,Switzerland,2019,Switzerland,CHE,Univar Ag,196_CHE,0.0,0,196_CHE
Changshu Jiabaorun Imp. Exp.,China,2020,China,CHN,Changshu Jiabaorun Imp Exp,CHN_44,82.0,1,
Ej Messara,Australia,2019,Australia,AUS,Ej Messara,6532_AUS,100.0,0,6532_AUS
Nissin R D Europe S L,Spain,2021,Spain,ESP,Nissin R D Europe S L,1448_ESP,,0,1448_ESP
Fluid Mischund Dispergiertechnik Gmb H,Germany,2019,Germany,DEU,Fluid Mischund Dispergiertechnik Gmb H,CHN_45,91.0,1,
Under Armoureurope Promo Product Account,Netherlands,2019,Netherlands,NLD,Under Armoureurope Promo Product Account,CHN_46,90.0,1,
Bradken Resources (Pty),Australia,2019,Australia,AUS,Bradken Resources (Pty),1389_NZL,0.0,0,1389_NZL
Jyuyou Enterprise,Taiwan,2020,Taiwan,TWN,Jyuyou Enterprise,6041_TWN,0.0,0,6041_TWN
Suzhou Innovation Packaging Materials,China,2021,China,CHN,Suzhou Innovation Packaging Materials,CHN_47,,1,
Qingdao Sunhill International Trd,China,2019,China,CHN,Qingdao Sunhill International Trd,CHN_48,84.0,1,
Diamedica Uk,United Kingdom,2019,United Kingdom,GBR,Diamedica Uk,4264_GBR,0.0,0,4264_GBR
Laboratoires Fillmed,France,2019,France,FRA,Laboratoires Fillmed,5088_FRA,0.0,0,5088_FRA
Maxtube Malaysia Sdn Bhd,Malaysia,2019,Malaysia,MYS,Maxtube Malaysia Sdn Bhd,CHN_49,83.0,1,
Fih Hong Kong Ltd.,Japan,2019,Japan,JPN,Fih Hong Kong Ltd,CHN_50,83.0,1,
Taiwan Endurance,Hong Kong,2019,Hong Kong,HKG,Taiwan Endurance,4263_TWN,0.0,0,4263_TWN
Sulzer Singapore Pte,Singapore,2021,Singapore,SGP,Sulzer Singapore Pte,9620_IND,,0,9620_IND
Daiko Product Osaka Office,Japan,2020,Japan,JPN,Daiko Product Osaka Office,4728_JPN,0.0,0,4728_JPN
Baumuller Raparaturwerk Gmb H Kg,Germany,2020,Germany,DEU,Baumuller Raparaturwerk Gmb H Kg,7959_DEU,0.0,0,7959_DEU
Sanyu Rec Malaysia Sdn Bhd,Malaysia,2019,Malaysia,MYS,Sanyu Rec Malaysia Sdn Bhd,CHN_51,85.0,1,
Zibo Bainaisi Chemical,China,2021,China,CHN,Zibo Bainaisi Chemical,CHN_52,,1,
Jiangxi Fengzhu New Materials Technology,China,2019,China,CHN,Jiangxi Fengzhu New Materials Technology,CHN_53,84.0,1,
Welltec Angola,Angola,2021,Angola,AGO,Welltec Angola,52_AGO,,0,52_AGO
Nantong Deke,China,2019,China,CHN,Nantong Deke,26602_CHN,0.0,0,26602_CHN
Huangshan Pantex Garments Mfg,China,2020,China,CHN,Huangshan Pantex Garments Mfg,1629_CHN,0.0,0,1629_CHN
Big Apple Resources Sdn Bhd,Malaysia,2019,Malaysia,MYS,Big Apple Resources Sdn Bhd,CHN_54,82.0,1,
Great State Hk Trading,Hong Kong,2020,Hong Kong,HKG,Great State Hk Trading,8600_HKG,0.0,0,8600_HKG
Brfs Orlando Prime Banana Republic Llc,United States,2020,United States,USA,Brfs Orlando Prime Banana Republic Llc,7096_USA,0.0,0,7096_USA
Dr Franz Feurstein Gmb H,Austria,2019,Austria,AUT,Dr Franz Feurstein Gmb H,5701_DEU,85.0,0,5701_DEU
Biosynex Sarl,France,2020,France,FRA,Biosynex Sarl,3305_FRA,0.0,0,3305_FRA
Chemfreight Christchurch,New Zealand,2019,New Zealand,NZL,Chemfreight Christchurch,1050_NZL,0.0,0,1050_NZL
Grantec International Xiamen,China,2019,China,CHN,Grantec International Xiamen,12419_CHN,100.0,0,12419_CHN
Nanjong Chengtian Textile,China,2021,China,CHN,Nanjong Chengtian Textile,CHN_55,,1,
Pak Ihracat A S,Turkey,2019,Turkey,TUR,Pak Ihracat A S,2168_TUR,0.0,0,2168_TUR
Arwa Trading Corporation,Bangladesh,2021,Bangladesh,BGD,Arwa Trading Corporation,CHN_56,,1,
Kelzai Eco Reserves,India,2021,India,IND,Kelzai Eco Reserves,CHN_57,,1,
Bell Textron Fort Worth,United States,2020,United States,USA,Bell Textron Fort Worth,12330_USA,0.0,0,12330_USA
Dah Chen Shoe Materials,Vietnam,2021,Vietnam,VNM,Dah Chen Shoe Materials,CHN_58,,1,
Quality Speciality Chemicals Llp,India,2021,India,IND,Quality Speciality Chemicals Llp,CHN_59,,1,
Yamauchi Singapore Pte,Singapore,2020,Singapore,SGP,Yamauchi Singapore Pte,CHN_60,82.0,1,
Paper Converting Machine Co.,United Kingdom,2021,United Kingdom,GBR,Paper Converting Machine Co,3908_GBR,,0,3908_GBR
Yatai Chemical Corp,China,2020,China,CHN,Yatai Chemical Corp,16900_CHN,0.0,0,16900_CHN
Adi Systems Mexico Sa De,Mexico,2019,Mexico,MEX,Adi Systems Mexico Sa De,CHN_61,81.0,1,
Shanghai Boyan Industrialco,China,2021,China,CHN,Shanghai Boyan Industrialco,CHN_62,,1,
Yong Shun Chemical,Taiwan,2019,Taiwan,TWN,Yong Shun Chemical,5241_TWN,100.0,0,5241_TWN
Melon Mango Logistics Co.,Hong Kong,2021,Hong Kong,HKG,Melon Mango Logistics Co,4685_HKG,,0,4685_HKG
Hnm Hennes N Mauritz Logistics Gbc S Almpex,Belgium,2019,Belgium,BEL,Hnm Hennes N Mauritz Logistics Gbc S Almpex,CHN_63,83.0,1,
Reijm Plantenverkoop Bv,Netherlands,2021,Netherlands,NLD,Reijm Plantenverkoop Bv,1274_NLD,,0,1274_NLD
"Volvo Construccion Equipment N.A., Llc.",United Kingdom,2019,United Kingdom,GBR,Volvo Construccion Equipment Na Llc,CHN_64,82.0,1,
Rosey Hocknell Wearenativ Temasek,United Kingdom,2019,United Kingdom,GBR,Rosey Hocknell Wearenativ Temasek,1722_GBR,0.0,0,1722_GBR
Lgeth Svc Myanmar Branch Room No 208 209 Pearl,Myanmar,2021,Myanmar,MMR,Lgeth Svc Myanmar Branch Room No 208 209 Pearl,CHN_65,,1,
Ndics Malaysia Sdn Bhd,Malaysia,2019,Malaysia,MYS,Ndics Malaysia Sdn Bhd,CHN_66,83.0,1,
Walmart Mlk Layout Center,United States,2019,United States,USA,Walmart Mlk Layout Center,10955_USA,0.0,0,10955_USA
Felix Clercx,Netherlands,2021,Netherlands,NLD,Felix Clercx,510_NLD,,0,510_NLD
Paxar China Ltd.,Hong Kong,2019,Hong Kong,HKG,Paxar China Ltd,2078_HKG,0.0,0,2078_HKG
Mohamed Naser Al Sayer Sons Est Wll,Kuwait,2021,Kuwait,KWT,Mohamed Naser Al Sayer Sons Est Wll,CHN_67,,1,
Batu Batu Resort Sdn Bhd,Malaysia,2019,Malaysia,MYS,Batu Batu Resort Sdn Bhd,6066_MYS,0.0,0,6066_MYS
Varin Food Machinery,Thailand,2021,Thailand,THA,Varin Food Machinery,3571_THA,,0,3571_THA
Phuoc Hiep Thanh Packing Only Member Co.,Vietnam,2020,Vietnam,VNM,Phuoc Hiep Thanh Packing Only Member Co,5970_VNM,0.0,0,5970_VNM
Shenzen Guoxen Trading,China,2019,China,CHN,Shenzen Guoxen Trading,7237_CHN,0.0,0,7237_CHN
Ashaway Line Twinw Mfg. Co.,United States,2019,United States,USA,Ashaway Line Twinw Mfg Co,21585_USA,0.0,0,21585_USA
Omron Hong Kong,Hong Kong,2019,Hong Kong,HKG,Omron Hong Kong,3221_HKG,100.0,0,3221_HKG
Mettler Toledo,United States,2019,United States,USA,Mettler Toledo,14000_USA,0.0,0,14000_USA
Kai Hang Membrane Key Board Speci,Hong Kong,2020,Hong Kong,HKG,Kai Hang Membrane Key Board Speci,CHN_68,93.0,1,
Sharree Commercial Service,China,2020,China,CHN,Sharree Commercial Service,20407_CHN,100.0,0,20407_CHN
Bmh Imp.,United Kingdom,2019,United Kingdom,GBR,Bmh Imp,595_GBR,100.0,0,595_GBR
Nippon Express Singapore Pte,United States,2019,United States,USA,Nippon Express Singapore Pte,8006_HKG,81.0,0,8006_HKG
Xiamen Zhonghaixing Imp. Exp.,China,2019,China,CHN,Xiamen Zhonghaixing Imp Exp,CHN_69,85.0,1,
Odate Newlong Industrial K K,Japan,2019,Japan,JPN,Odate Newlong Industrial K K,10513_JPN,0.0,0,10513_JPN
Linyi Thirtythree Imp. Exp.,China,2020,China,CHN,Linyi Thirtythree Imp Exp,41750_CHN,0.0,0,41750_CHN
Ningbo Sunico Commutator Ltd.,China,2019,China,CHN,Ningbo Sunico Commutator Ltd,24877_CHN,100.0,0,24877_CHN
Trouw Nutrition International Bv,Netherlands,2019,Netherlands,NLD,Trouw Nutrition International Bv,1190_NLD,100.0,0,1190_NLD
Pearl Islands Commercial Corp,Philippines,2019,Philippines,PHL,Pearl Islands Commercial Corp,2081_PHL,0.0,0,2081_PHL
Western Power Sports,United States,2020,United States,USA,Western Power Sports,59_USA,0.0,0,59_USA
Motor Image Pilipinas,Philippines,2020,Philippines,PHL,Motor Image Pilipinas,502_PHL,0.0,0,502_PHL
Jas Imp. Exp. Srl,Peru,2020,Peru,PER,Jas Imp Exp Srl,54_PER,100.0,0,54_PER
Sas Le 35 Attn Cassara Remy,France,2021,France,FRA,Sas Le 35 Attn Cassara Remy,CHN_70,,1,
Walmart,Vietnam,2020,Vietnam,VNM,Walmart,2247_VNM,100.0,0,2247_VNM
Fortune Cotton Mill,India,2020,India,IND,Fortune Cotton Mill,4081_IND,0.0,0,4081_IND
Bronze Event International Ltd.,Taiwan,2021,Taiwan,TWN,Bronze Event International Ltd,CHN_71,,1,
Everflash Seafood Supplies Pte,Singapore,2020,Singapore,SGP,Everflash Seafood Supplies Pte,6453_MYS,98.0,0,6453_MYS
Nike Australia,United States,2019,United States,USA,Nike Australia,15829_USA,0.0,0,15829_USA
Shanghai Qilong High Pressure Container,China,2021,China,CHN,Shanghai Qilong High Pressure Container,38005_CHN,,0,38005_CHN
C T Garment Accessories,Hong Kong,2020,Hong Kong,HKG,C T Garment Accessories,CHN_72,84.0,1,
Shanghai Gas Welding Equipment,China,2020,China,CHN,Shanghai Gas Welding Equipment,CHN_73,89.0,1,
Monark Automotive Gmb H,Germany,2019,Germany,DEU,Monark Automotive Gmb H,CHN_74,84.0,1,
New Modern Super Pack,Thailand,2019,Thailand,THA,New Modern Super Pack,6757_THA,0.0,0,6757_THA
Contrive Srl,Italy,2020,Italy,ITA,Contrive Srl,CHN_75,82.0,1,
Kean Ann Pte,Singapore,2019,Singapore,SGP,Kean Ann Pte,1248_SGP,0.0,0,1248_SGP
Halliburton Far East Pte Singapore,Singapore,2019,Singapore,SGP,Halliburton Far East Pte Singapore,CHN_76,81.0,1,
Bridon Bekaert Houston,United States,2019,United States,USA,Bridon Bekaert Houston,6290_USA,100.0,0,6290_USA
Liebherr Mining Equipment Colmar Sas,France,2021,France,FRA,Liebherr Mining Equipment Colmar Sas,286_FRA,,0,286_FRA
Nouryon Surface Chemistry Pte,China,2021,China,CHN,Nouryon Surface Chemistry Pte,3902_SGP,,0,3902_SGP
Tianjin Shengwang Electronic Chemical,China,2021,China,CHN,Tianjin Shengwang Electronic Chemical,49031_CHN,,0,49031_CHN
Del Monte Philippines Philippine Packing,Philippines,2019,Philippines,PHL,Del Monte Philippines Philippine Packing,350_PHL,0.0,0,350_PHL
Yester Accessories Co. Bd,Bangladesh,2020,Bangladesh,BGD,Yester Accessories Co Bd,126_BGD,0.0,0,126_BGD
C S Salons,India,2020,India,IND,C S Salons,4564_IND,100.0,0,4564_IND
"Bs Microelectronics(S) Pte., Ltd.",Singapore,2020,Singapore,SGP,Bs Microelectronics(S) Pte Ltd,CHN_77,0.0,1,
Jiangsu Shuangsheng Medical Appliance,China,2020,China,CHN,Jiangsu Shuangsheng Medical Appliance,CHN_78,81.0,1,
Thorsen Mobler A S,Denmark,2021,Denmark,DNK,Thorsen Mobler A S,280_DNK,,0,280_DNK
Kuken,Japan,2021,Japan,JPN,Kuken,7870_JPN,,0,7870_JPN
Bonded Logistics Ap Char,United States,2020,United States,USA,Bonded Logistics Ap Char,3844_USA,100.0,0,3844_USA
Eschler Thai Knit,Thailand,2019,Thailand,THA,Eschler Thai Knit,CHN_79,91.0,1,
Ykk Malaysia Sdn Bhd,Malaysia,2019,Malaysia,MYS,Ykk Malaysia Sdn Bhd,CHN_80,88.0,1,
Bc Trade Sia,Latvia,2020,Latvia,LVA,Bc Trade Sia,76_LVA,0.0,0,76_LVA
Nanjing Sinomachinery Imp. Exp. C,China,2021,China,CHN,Nanjing Sinomachinery Imp Exp C,34354_CHN,,0,34354_CHN
A Baur Private,Sri Lanka,2019,Sri Lanka,LKA,A Baur Private,28_LKA,0.0,0,28_LKA
Rohde Gmb H,Germany,2021,Germany,DEU,Rohde Gmb H,5636_DEU,,0,5636_DEU
The Gap The Gap,United States,2019,United States,USA,The Gap The Gap,1852_USA,100.0,0,1852_USA
Fuzhou Cbm Imp. Exp.,China,2021,China,CHN,Fuzhou Cbm Imp Exp,CHN_81,,1,
New Zealand Steel Ltd.,New Zealand,2020,New Zealand,NZL,New Zealand Steel Ltd,484_NZL,100.0,0,484_NZL
Wuhan Ycd Imp. Exportco,China,2020,China,CHN,Wuhan Ycd Imp Exportco,CHN_82,87.0,1,
Continent Link International Ltd.,China,2021,China,CHN,Continent Link International Ltd,CHN_83,,1,
I N V T Power System,China,2019,China,CHN,I N V T Power System,50378_CHN,0.0,0,50378_CHN
Shanghai Union Oleochemicals,China,2020,China,CHN,Shanghai Union Oleochemicals,854_CHN,0.0,0,854_CHN
Rohrback Cosasco Systems Inc.,United States,2020,United States,USA,Rohrback Cosasco Systems Inc,19916_USA,0.0,0,19916_USA
Leading Man And Woman,United States,2021,United States,USA,Leading Man And Woman,684_USA,,0,684_USA
Thilina Consolidate (Pvt) Ltd.,Sri Lanka,2019,Sri Lanka,LKA,Thilina Consolidate (Pvt) Ltd,1151_LKA,100.0,0,1151_LKA
Invectec Performance Chemicals,Malaysia,2019,Malaysia,MYS,Invectec Performance Chemicals,CHN_84,97.0,1,
Zhejiang Higer Imp. Ang Exp.,China,2021,China,CHN,Zhejiang Higer Imp Ang Exp,19962_CHN,,0,19962_CHN
Gulatis Exclusive Sdn Bhd,Malaysia,2021,Malaysia,MYS,Gulatis Exclusive Sdn Bhd,4778_MYS,,0,4778_MYS
New Port International,United States,2019,United States,USA,New Port International,CHN_85,81.0,1,
Toyo Seiki Thailand,Thailand,2020,Thailand,THA,Toyo Seiki Thailand,CHN_86,92.0,1,
Edwards Lifesciences Singapore Pte,Singapore,2021,Singapore,SGP,Edwards Lifesciences Singapore Pte,9720_SGP,,0,9720_SGP
Dunlopillo Vietnam Ltd.,Vietnam,2019,Vietnam,VNM,Dunlopillo Vietnam Ltd,1017_VNM,100.0,0,1017_VNM
Trumpf Maschinen Austria Gmb H & Co. Kg,Austria,2020,Austria,AUT,Trumpf Maschinen Austria Gmb H & Co Kg,537_AUT,100.0,0,537_AUT
